LATITUDE,LONGITUDE,AGE,CU
31.1059,140.888,30.3,51.0
32.3994,140.418,28.48,95.0
32.3994,140.418,28.5,113.0
32.3994,140.418,28.86,61.0
31.1059,140.888,26.6,148.0
31.1059,140.888,27.8,133.0
32.3757,140.749,28.8,77.0
30.921999999999997,140.004,3.5,37.0
30.921999999999997,140.004,3.7,18.0
30.9161,139.844,0.05,12.0
30.9161,139.844,0.09,13.0
30.9161,139.844,0.16,40.0
30.9109,139.83700000000002,0.17,46.0
30.9165,139.87,0.08,26.0
30.9165,139.87,0.25,22.0
32.3757,140.749,0.01,38.0
32.3757,140.749,0.05,53.0
32.3998,140.381,0.13,51.0
32.3994,140.418,9.5,126.0
32.3757,140.749,27.87,125.0
32.3757,140.749,27.9,114.0
32.3757,140.749,28.1,50.0
32.3757,140.749,28.3,131.0
32.3757,140.749,28.38,57.0
32.3994,140.418,28.96,39.0
32.3994,140.418,29.02,72.0
32.3994,140.418,30.5,68.0
31.1057,140.888,0.7,155.0
32.3994,140.418,27.4,151.0
32.3994,140.418,28.1,118.0
31.1059,140.888,16.5,78.0
31.1059,140.888,29.69,126.0
31.1059,140.888,30.17,200.0
31.1059,140.888,30.2,66.0
32.3994,140.418,28.3,103.0
32.3994,140.418,28.71,92.0
31.1059,140.888,27.97,131.0
31.1059,140.888,28.05,117.0
30.921999999999997,140.004,2.36,8.0
30.921999999999997,140.004,2.68,13.0
30.921999999999997,140.004,3.31,24.0
30.921999999999997,140.004,3.38,33.0
30.921999999999997,140.004,4.14,156.0
30.9161,139.844,0.03,19.0
30.9161,139.844,0.07,20.0
30.9109,139.83700000000002,0.1,6.0
30.9109,139.83700000000002,0.18,50.0
30.9165,139.87,0.03,10.0
30.9165,139.87,0.15,25.0
30.9165,139.87,0.86,61.0
32.3757,140.749,25.0,111.0
32.3757,140.749,26.8,146.0
32.3998,140.381,0.19,22.0
32.3994,140.418,6.6,191.0
32.3994,140.418,10.0,100.0
