LATITUDE,LONGITUDE,AGE,CU
33.5,130.5,105.5,16.0
15.1111,120.30799999999999,-1.8e-05,38.0
15.168,120.322,-1.8e-05,74.0
33.5,130.5,105.5,13.0
34.0,130.0,87.0,4.1
32.6,129.4,11.5,39.1
35.5,136.8,173.55,13.0
35.5,136.8,275.0,106.0
23.58,119.5,12.8,71.0
33.0,130.0,32.75,14.0
32.6,129.4,11.5,18.6
35.8,136.0,158.25,4.0
15.13,120.35,0.000558,104.0
24.1,118.1,14.15,72.0
15.13,120.35,0.000558,72.8
34.8,136.0,105.5,2.0
33.5,130.5,105.5,6.0
34.5,131.8,60.65,39.0
24.73,121.25,14.15,57.0
31.0,130.0,12.8,60.0
35.35,138.73,-0.000302,81.0
35.0,132.0,8.340000000000001e-05,23.0
25.0,120.0,32.75,48.8
22.97,121.3,12.8,14.0
35.2,134.6,1.305,12.4
15.168,120.322,-1.8e-05,81.0
32.75,130.3,-1.4999999999999999e-05,12.0
33.5,130.5,105.5,15.0
35.4,133.0,13.8,20.0
34.5,131.8,60.65,3.0
35.4,133.0,13.8,27.0
23.85,120.76700000000001,1.305,56.0
35.35,138.73,-0.000302,174.0
31.4,130.5,271.0,25.0
25.48,122.1,1.3,18.3
25.15,121.5,3.95,102.9
34.5,131.8,60.65,3.0
35.2,134.6,1.305,6.1
34.0,130.0,1.305,26.0
34.38,134.12,82.9,6.0
35.38,138.7,0.0055,172.0
35.4,133.0,13.8,26.0
35.2,134.6,1.305,55.0
33.0,130.0,32.75,33.0
25.03,121.67,12.8,25.0
24.8,121.17,11.0,37.0
25.08,121.57,21.5,43.0
35.0,132.0,8.340000000000001e-05,1.0
0.85,124.7,13.0,24.0
22.97,121.3,12.8,34.0
23.58,119.5,12.8,65.0
25.0,120.0,3.95,30.6
35.8,137.9,99.0,152.0
26.3,126.7,3.95,64.0
25.5,122.0,32.75,36.4
33.5,130.5,105.5,8.0
35.38,138.7,0.0555,95.0
34.8,136.0,105.5,3.0
15.13,120.35,-1.8e-05,118.0
35.4,137.2,105.5,1.0
33.5,134.0,158.25,32.0
35.361,138.72799999999998,1.305,30.0
32.6,129.4,11.5,103.0
